Template	Occurrences	Simulation
uneven-900	90771	0
uneven-99	9179	0
uneven-1	50	0
uneven-900	89736	1
uneven-99	10216	1
uneven-1	48	1
uneven-900	89146	2
uneven-99	10747	2
uneven-1	107	2
uneven-900	90159	3
uneven-99	9740	3
uneven-1	101	3
uneven-900	90290	4
uneven-99	9605	4
uneven-1	105	4
uneven-900	90196	5
uneven-99	9672	5
uneven-1	132	5
uneven-900	89793	6
uneven-99	10067	6
uneven-1	140	6
uneven-900	89648	7
uneven-99	10309	7
uneven-1	43	7
uneven-900	90162	8
uneven-99	9702	8
uneven-1	136	8
uneven-900	90171	9
uneven-99	9731	9
uneven-1	98	9
